# variable,discipline,category,code,long_name,units,level_type
TMP,0,0,0,Temperature,K,pl
TMP2,0,0,0,Temperature,K,sfc
POT,0,0,2,Potential temperature,K,sigma
T MAX,0,0,4,Maximum temperature,K,sfc
T MIN,0,0,5,Minimum temperature,K,sfc
DPT2,0,0,6,Dewpoint temperature,K,sfc
LHTFL,0,0,10,Latent heat flux,W m-2,sfc
SHTFL,0,0,11,Sensible heat flux,W m-2,sfc
SNOHF,0,0,192,Snow phase change heat flux,W m-2,sfc
SPF H,0,1,0,Specific humidity,kg kg-1,pl
SPF H2,0,1,0,Specific humidity,kg kg-1,sfc
R H,0,1,1,Relative humidity,%,pl
R H2,0,1,1,Relative humidity,%,sfc
P WAT,0,1,3,Precipitable water,kg m-2,108
PRATE,0,1,7,Precipitation rate,kg m-2 s-1,sfc
A PCP,0,1,8,Total precipitation,kg m-2,sfc
NCPCP,0,1,9,Large scale precipitation (non-convective),kg m-2,sfc
ACPCP,0,1,10,Convective precipitation,kg m-2,sfc
SNO D,0,1,11,Snow depth,m,sfc
WEASD,0,1,13,Water equivalent of accumulated snow depth,kg m-2,sfc
CLWMR,0,1,22,Cloud water mixing ratio,kg kg-1,pl
CRAIN,0,1,192,Categorical rain (yes=1; no=0),,sfc
CFRZR,0,1,193,Categorical freezing rain (yes=1; no=0),,sfc
CICEP,0,1,194,Categorical ice pellets (yes=1; no=0),,sfc
CSNOW,0,1,195,Categorical snow (yes=1; no=0),,sfc
CPRAT,0,1,196,Convective precipitation rate,kg m-2 s-1,sfc
PEVPR,0,1,200,Potential evaporation rate,W m-2,sfc
SNOWC,0,1,201,Snow cover,%,sfc
SBSNO,0,1,212,Sublimation (evaporation from snow),W m-2,sfc
QMAX,0,1,219,Maximum specific humidity at 2m,kg kg-1,sfc
QMIN,0,1,220,Minimum specific humidity at 2m,kg kg-1,sfc
U GRD,0,2,2,u-component of wind,m s-1,pl
U10,0,2,2,u-component of wind,m s-1,sfc
V GRD,0,2,3,v-component of wind,m s-1,pl
V10,0,2,3,v-component of wind,m s-1,sfc
STRM,0,2,4,Stream function,m2 s-1,pl
V POT,0,2,5,Velocity potential,m2 s-1,pl
V VEL,0,2,8,Vertical velocity (pressure),Pa s-1,pl
ABS V,0,2,10,Absolute vorticity,s-1,pl
U FLX,0,2,17,Momentum flux; u-component,N m-2,sfc
V FLX,0,2,18,Momentum flux; v-component,N m-2,sfc
VW SH,0,2,192,Vertical speed shear,s-1,7
USTM,0,2,194,u-component of storm motion,m s-1,sfc
VSTM,0,2,195,v-component of storm motion,m s-1,sfc
FRICV,0,2,197,Frictional velocity,m s-1,sfc
PRES,0,3,0,Pressure,Pa,sfc
PRMSL,0,3,1,Pressure reduced to MSL,Pa,sfc
HGT,0,3,5,Geopotential height,gpm,pl
GP A,0,3,9,Geopotential height anomaly,gpm,pl
5WAVH,0,3,193,5-wave geopotential height,gpm,pl
U-GWD,0,3,194,Zonal flux of gravity wave stress,N m-2,sfc
V-GWD,0,3,195,Meridional flux of gravity wave stress,N m-2,sfc
HPBL,0,3,196,Planetary boundary layer height,m,sfc
5WAVA,0,3,197,5-wave geopotential height anomaly,gpm,pl
DSWRF,0,4,192,Downward shortwave radiation flux,W m-2,sfc
USWRF,0,4,193,Upward shortwave radiation flux,W m-2,sfc
DUVB,0,4,194,UV-B downward solar flux,W m-2,sfc
CDUVB,0,4,195,Clear sky UV-B downward solar flux,W m-2,sfc
CSDSF,0,4,196,Clear sky downward solar flux,W m-2,sfc
SWHR,0,4,197,Solar radiative heating rate,K s-1,sfc
CSUSF,0,4,198,Clear sky upward solar flux,W m-2,sfc
DLWRF,0,5,192,Downward longwave radiation flux,W m-2,sfc
ULWRF,0,5,193,Upward longwave radiation flux,W m-2,sfc
LWHR,0,5,194,Long-wave radiative heating rate,K s-1,sfc
CSULF,0,5,195,Clear sky upward longwave flux,W m-2,sfc
CSDLF,0,5,196,Clear sky downward longwave flux,W m-2,sfc
T CDC,0,6,1,Total cloud cover,%,200
C WAT,0,6,6,Cloud water,kg m-2,200
CWORK,0,6,193,Cloud workfunction,J kg-1,200
PLI,0,7,0,Parcel lifted index (to 500 mb),deg K,108
CAPE,0,7,6,Convective available potential energy,J kg-1,108
CIN,0,7,7,Convective inhibition,J kg-1,108
HLCY,0,7,8,Storm relative helicity,m2 s-2,sfc
LFT X,0,7,192,Surface lifted index,deg K,sfc
4LFTX,0,7,193,Best (4 layer) lifted index,deg K,sfc
TOZNE,0,14,0,Total ozone,Dobson,200
ALBDO,0,19,1,Albedo,%,sfc
SSRUN,1,0,193,Storm surface runoff,kg m-2,sfc
LAND,2,0,0,Land cover (0=sea; 1=land),Proportion,sfc
SFC R,2,0,1,Surface roughness,m,sfc
SOIL M,2,0,3,Soil moisture content,kg m-2,sfc
VEG,2,0,4,Vegetation,%,sfc
WATR,2,0,5,Water runoff,kg m-2,sfc
SOILW,2,0,192,Volumetric soil moisture content,,sfc
GFLUX,2,0,193,Ground heat flux,W m-2,sfc
SFEXC,2,0,195,Exchange coefficient,(kg m-3) (m s-1),sfc
CNWAT,2,0,196,Plant canopy surface water,kg m-2,sfc
VGTYP,2,0,198,Vegetation type,,sfc
AKHS,2,0,208,Surface exchange coefficients for T and Q divided by delta z,m s-1,sfc
AKMS,2,0,209,Surface exchange coefficients for U and V divided by delta z,m s-1,sfc
VEGT,2,0,210,Vegetation canopy temperature,K,sfc
SOTYP,2,3,0,Soil type,,sfc
SOILL,2,3,192,Liquid volumetric soil moisture (non-frozen),,sfc
SLTYP,2,3,194,Surface slope type,,sfc
EVBS,2,3,198,Direct evaporation from bare soil,W m-2,sfc
SEAI,10,2,0,Sea-ice cover (0 - 1),,sfc
ICETH,10,2,1,Ice thickness,m,sfc
